Subsystem,Category,Component,Recommended Part,Qty per Unit,Priority,Prototype or Final,Function,Key Specs,Datasheet / Source URL,Availability / Mexico Notes,Electrical Notes,CAD / Mechanical Notes,Risk / Decision,Status,Approved Alternatives
Wall Beacon Tag,MCU / BLE,BLE module,Raytac MDBT42Q-512KV2 / MDBT42Q-P512KV2 (nRF52832),1,Core,Final tag PCB,Low-power BLE advertising tag with Open Braille Beacon ID/metadata,nRF52832 BLE module; 16 x 10 x 2.2 mm; 1.7–3.6 V supply; 512 KB Flash / 64 KB RAM; BLE + 2.4 GHz; RSSI; GPIO/SPI/UART/I2C/I2S/PWM/ADC/NFC.,https://www.raytac.com/upload/download_files/38a8a4a0aff945d8484507d60058109b.pdf,"Core part frozen. If Raytac is not available locally, use Digi-Key/Mouser/TME/Amazon import. Unit Electronics did not appear to list Raytac directly during search.",Use only 1x CR2032 or regulated 3 V. Do NOT use 2x CR2032 in series. Add 100 nF decoupling and 10–47 uF bulk. Respect SWD programming pads.,"Keep module antenna at PCB edge. No copper, battery, screws, or metal under/above antenna keep-out.",Approved core tag module. Requires careful RF layout and sourcing verification.,Selected,"MDBT42Q-P512KV2, other nRF52832/nRF52 BLE modules with similar voltage/current/radio layout requirements."
Wall Beacon Tag,Power,Coin cell battery,CR2032 3 V lithium coin cell,1,Core,Final tag PCB,Primary battery for silent BLE tag,"3 V nominal, 20 mm diameter, ~3.2 mm thick; typical capacity ~200 mAh depending brand/load.",https://www.panasonic-batteries.com/en/lithium-coin-br,"Widely available in Mexico: electronics shops, supermarkets, Amazon/MercadoLibre, Steren/Unit-type stores.",Coin cells dislike high current peaks. BLE advertising must be low duty cycle. Bulk capacitor recommended near module.,"Leave access for battery replacement. Battery cavity ~21 mm diameter if direct, or use exact holder footprint.","Approved. Battery life must be measured on bench, not guessed.",Selected,"Renata, Panasonic, Energizer, Maxell CR2032 from reputable source."
Wall Beacon Tag,Power / Mechanical,CR2032 holder,"Single CR2032 PCB holder, e.g. HandsOn CON1118 or Keystone-style single holder",1,Core,Final tag PCB,Holds replaceable CR2032 battery,Single-cell holder for 20 mm coin cells; example dimensions 24.3 x 7.4 mm; PCB mount; PBT body.,https://www.handsontec.com/dataspecs/connector/CR2032-Holder.pdf,Common as 'porta pila CR2032 para PCB' in Unit/Sterén/MercadoLibre/Amazon; verify exact footprint before PCB.,"Must be single-cell 3 V. Avoid dual CR2032 series holders unless adding a regulator, which is not recommended for tag v1.",Model exact holder before final CAD. Placeholder: ~24 x 22 x 5 mm if horizontal holder is used.,Approved only as single-cell holder. Blueprint dual-cell holder rejected.,Selected,"Keystone 1060/1061/1058 style, any single CR2032 holder with known footprint and low profile."
Wall Beacon Tag,Input / Setup,Magnetic reed switch,Littelfuse MRPR-3 miniature normally-open reed switch,1,Core,Final tag PCB,Magnetic setup/reset trigger without exposed public button,SPST-NO; glass envelope 19.69 x 2.84 mm; 22–43 AT; zero operating power; contact resistance <100 mΩ; -40 to +125 °C.,https://www.littelfuse.com/assetdocs/littelfuse_reed_switches_mrpr_3_datasheet.pdf,"If exact MRPR-3 is hard to source, use generic NO reed switch locally. Verify size and activation distance with chosen magnet.",Use with internal pull-up or 100 kΩ external pull-up to reduce current. Debounce in firmware.,"Place close to side wall, ~1–1.5 mm from exterior. Add external tactile/magnet mark.",Approved concept. Exact sensitivity must be bench-tested with actual magnet and enclosure plastic thickness.,Selected,Any miniature SPST-NO reed switch with known AT range and manageable size.
Wall Beacon Tag,Indicator,Debug/status LED,"Low-current SMD LED, 0603 or 0805",1,Core,Final tag PCB,Installation/debug feedback only,Any low-current visible LED; choose green or amber for visibility; forward voltage depends color.,https://www.kingbrightusa.com/category.asp?catalog_name=LED&category_name=0603%20SMD%20LEDs,Very common locally. Use whatever footprint is easiest to solder in prototype.,Use resistor 1 kΩ–4.7 kΩ. LED must be normally off. Avoid constant blinking in production.,Align with 4.0 x 1.5 mm window or light pipe. Keep window filleted.,"Approved, but only if firmware keeps it mostly off to preserve battery.",Selected,"0603/0805 red, green, amber LED from any common brand."
Wall Beacon Tag,Passives,Decoupling capacitor,"100 nF ceramic capacitor, X7R/X5R, 0603/0805",1,Core,Final tag PCB,Local high-frequency decoupling for BLE module,0.1 uF; ceramic; rated >=6.3 V; X7R/X5R preferred.,https://www.murata.com/en-us/products/capacitor/mlcc,Common locally. Buy assorted SMD capacitor kit if needed.,Place close to VDD/GND pins of module. Short traces.,No major CAD impact; reserve PCB space near module.,Mandatory for stable RF/MCU operation.,Selected,Any reputable 100 nF ceramic capacitor in selected footprint.
Wall Beacon Tag,Passives,Bulk capacitor,"10–47 uF ceramic/tantalum capacitor, 0603/0805/1206",1,Core,Final tag PCB,Buffers BLE radio current peaks from CR2032,"10–47 uF, >=6.3 V, low ESR preferred. Actual capacitance derates with DC bias.",https://www.murata.com/en-us/products/capacitor/mlcc,"Common, but check package and capacitance availability.",Place close to module power rail. Helps avoid voltage dip during advertising bursts.,Use low-profile part. Avoid interfering with top cover.,Mandatory for CR2032 BLE stability.,Selected,10 uF + 100 nF minimum; 47 uF if space and leakage are acceptable.
Wall Beacon Tag,Programming,SWD programming pads,Tag-Connect footprint or 5 test pads,1,Core,Final tag PCB,Flash/debug nRF52 module,"Expose VDD, GND, SWDIO, SWDCLK, RESET if possible.",https://www.tag-connect.com/,Pads cost nothing. Tag-Connect cable optional/import. Pogo pads can be DIY for early prototypes.,Do not omit. Required before sealed enclosure/field use.,Make accessible before final assembly or through temporary opening/test jig.,Mandatory. Lack of programming pads is a PCB-killer.,Selected,2.54 mm header pads for prototype; SWD pogo pad layout for final.
Receiver Clip,MCU / BLE,nRF52840 development board,Seeed Studio XIAO nRF52840 BLE,1,Core,Receiver prototype only,"BLE scanning receiver, one-button UX, haptic control",Nordic nRF52840; Bluetooth 5.0; 21 x 17.5 mm; USB-C; LiPo charge management; 1 MB flash / 256 KB RAM; 11 digital I/O; 6 analog I/O; 3.3 V I/O only; ~5 uA deep sleep.,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5732/Seeed%20102010448.pdf,"Listed by Unit Electronics search results as XIAO nRF52840 BLE. Also available via Seeed, Digi-Key, Amazon/MercadoLibre imports.","All I/O are 3.3 V only. Board already includes USB-C and LiPo charger, useful for receiver prototype.",Model 21 x 17.5 mm board with USB-C access and antenna keep-out. Do not enclose antenna with metal.,"Selected for receiver prototype, not necessarily final custom PCB.",Selected,"nRF52840 Pro Micro, Adafruit Feather nRF52840, Nordic nRF52840 DK for bench only."
Receiver Clip,Power,LiPo battery,3.7 V 150–300 mAh protected LiPo,1,Core,Receiver prototype,Rechargeable receiver power,Example 150 mAh: 3.7 V nominal; charge voltage 4.2 V; recommended charge current 0.2C; max charge 0.5C; output 4.2–2.5 V; protection available; ~15 x 12 x 9 mm for one 150 mAh model.,https://www.fpbattery.com/wp-content/uploads/2024/06/fpbattery-951213-3.7V-150mAh-Lithium-Polymer-Battery-Specification.pdf,Common locally as LiPo 3.7 V with JST-PH. Verify connector polarity before plugging into XIAO/charger.,Use protected cell or protection PCB. Never charge unattended during early tests. Match charger current to battery capacity.,"Leave swelling clearance. Do not crush, screw through, or overbend pouch cell.",Selected. Safety handling required.,Selected,200 mAh or 300 mAh protected LiPo if enclosure allows.
Receiver Clip,Power / Charging,LiPo charger IC,MCP73831 / MCP73832,1,Only if not using XIAO charger,Receiver custom PCB later,Single-cell Li-ion/LiPo charge management,Linear charger; CC/CV algorithm; 4.20/4.35/4.40/4.50 V options; programmable charge current 15–500 mA; charge status output; thermal regulation; SOT-23-5/DFN.,https://cdn.sparkfun.com/assets/learn_tutorials/6/9/5/MCP738312.pdf,Common on LiPo charger modules and through Digi-Key/Mouser. Not needed if XIAO charger is used directly.,Set charge current appropriately. Add input/output caps per datasheet. Charger alone is not full battery protection unless cell has PCM.,Thermal relief and USB-C position matter in custom PCB.,Deferred for custom receiver PCB. XIAO handles charging in prototype.,Deferred,TP4056 module for bench/prototype only; BQ25101/BQ25100 family for compact final design.
Receiver Clip,Feedback,Coin vibration motor,Vybronics VC1030B028F or generic 10 mm x 3 mm 3 V coin motor,1,Core,Receiver prototype,Primary haptic output,"10 mm diameter; 3 mm thick; 3.0 V rated; 2.7–3.3 V operating range; 64 mA typical, 85 mA max; 13,500 rpm; 0.90 Grms; adhesive pad.",https://www.vybronics.com/coin-vibration-motors/with-brushes/v-c1030b028f,"Generic 3 V coin motors widely available in robotics/electronics stores, Amazon/MercadoLibre.",Never drive directly from GPIO. Use MOSFET/driver and consider flyback/transient protection. PWM can control intensity.,Motor must be mechanically coupled to enclosure wall. Adhesive mount helps transfer vibration.,Selected. Bench-test feel through clip enclosure.,Selected,Any 3 V coin vibration motor around 8–10 mm with current <100 mA.
Receiver Clip,Motor Driver,N-channel MOSFET,AO3400 SOT-23 N-MOSFET,1,Core,Receiver prototype/custom PCB,Low-side switch for vibration motor,30 V VDS; 5.8 A at VGS=10 V; RDS(on) <52 mΩ at VGS=2.5 V; gate threshold 0.65–1.45 V; SOT-23.,https://www.aosmd.com/res/data_sheets/AO3400.pdf,Very common as AO3400/AO3400A MOSFET module or SMD part. Unit/Santayc/Amazon/MercadoLibre likely carry equivalents.,"Use gate resistor ~100 Ω and pulldown ~100 kΩ. Source to GND, drain to motor negative, motor positive to battery/3.3 V rail as designed.",Small SOT-23 footprint. Keep near motor connector/pads.,Selected. Overkill but cheap and safe for motor current.,Selected,"IRLML2502, DMG2302, 2N7002 only if motor current is low enough."
Receiver Clip,Protection,Flyback / protection diode,1N5819 Schottky diode,1,Recommended,Receiver prototype/custom PCB,Transient/freewheel protection for motor or polarity protection if used,Schottky rectifier; 40 V reverse; 1 A average forward current; low forward voltage; fast switching.,https://www.st.com/resource/en/datasheet/1n5817.pdf,Extremely common locally. SMD equivalent SS14 also common.,"For a brushed motor, place diode across motor if needed. Some coin motor setups use TVS/diode/snubber depending noise.",DO-41 through-hole is large; prefer SMD SS14/SOD-123 for compact PCB.,Recommended. Choose SMD package for clip compactness.,Selected,"SS14, BAT54 for small-signal, or TVS/snubber if EMI becomes a problem."
Receiver Clip,Input / Power,Power slide switch,Würth 450302014072 or generic mini SPDT slide switch,1,Core,Receiver prototype,Physical power disconnect,SPDT on-on; 300 mA @ 24 VDC; contact resistance 30 mΩ max initial; -40 to +85 °C; 10 x 2.5 mm right-angle example.,https://www.we-online.com/components/products/datasheet/450302014072.pdf,Generic mini slide switches widely available. Exact Würth may require Digi-Key/Mouser.,Switch battery or enable line depending board. Verify current rating with motor peak.,Needs side access in clip enclosure. Protect from accidental toggles but keep reachable.,Selected for receiver. Tag does not need public slide switch.,Selected,Any SPDT/SPST mini slide switch rated >=300 mA at low voltage.
Receiver Clip,Input / UX,Main tactile button,"6 x 6 mm tactile switch, e.g. C&K PTS645 or generic 6x6x5 mm",1,Core,Receiver prototype,"One-button UX: short press cycles tags, long press selects/cancels","SPST normally-open momentary; 50 mA @ 12 VDC; compact 6 x 6 mm; C&K PTS645 life expectancy ~100,000 operations.",https://assets.rs-online.com/v1700169123/Datasheets/faa3b5df6150436956cf2922026c8510.pdf,Generic 6x6 tact switches are everywhere; choose height based on enclosure.,Use internal pull-up/pull-down. Debounce in firmware. Add ESD protection if exposed heavily.,Button must be findable by touch. Consider raised external button cap.,Selected. UX reliability depends on button feel and firmware debounce.,Selected,Any tactile switch with comfortable force and known height.
Mechanical / Assembly,Mounting,3M VHB adhesive pad,"3M VHB double-sided foam tape, thin variant",1,Recommended,Wall tag final,Adhesive mounting to wall/sign area,High-bond double-sided adhesive foam tape; select thickness ~0.8–1.2 mm if possible.,https://www.3m.com/3M/en_US/vhb-tapes-us/,Available in hardware/electronics stores and MercadoLibre/Amazon.,None.,Backplate should include 30 x 25 x 0.3 mm recessed zone to position adhesive.,Recommended with optional screws for public installation robustness.,Selected,"Screws only, VHB + screws, removable backplate."
Mechanical / Assembly,Fasteners,M2/M3 screws,M2 for enclosure closure; M3 optional for wall mounting,2,Recommended,Wall tag / receiver enclosure,Mechanical closure and optional wall mount,M2 screws for small plastic bosses; M3 optional holes for surface mounting.,https://www.mcmaster.com/products/machine-screws/,Screw kits available on Amazon/MercadoLibre/local hardware stores.,Do not place metal screws near BLE antenna keep-out.,"Boss OD ~4.0–4.8 mm, pilot hole ~1.6–1.8 mm for M2. Add base fillets.",Recommended. Avoid over-tightening printed plastic.,Selected,Heat-set inserts later; snap-fit only in v2.
